bathrooms,elevator,rooms,link,parking,balcony,air_conditioner,swimming_pool,price,heating,info_card_type,terrace,title,surface,floor
2 baños,,4 habs.,Casa o chalet en venta en Calafell,,,,Piscina,265.000 €,Calefacción,re-CardPackPremium-info,Terraza,Casa o chalet en venta en Calafell,174 m²,
6 baños,,4 habs.,"Casa o chalet en venta en Avinguda del Mirador, Sant Andreu de Llavaneres",,Balcón,,Piscina,2.232.000 €,Calefacción,re-CardPackPremium-info,Terraza,"Casa o chalet en venta en Avinguda del Mirador, Sant Andreu de Llavaneres",616 m²,
5 baños,,5 habs.,Casa o chalet en venta en L'Eliana,,,,Piscina,1.100.000 €,Calefacción,re-CardPackPremium-info,Terraza,Casa o chalet en venta en L'Eliana,537 m²,
2 baños,,2 habs.,Casa o chalet en venta en Busot,,,,Piscina,190.000 €,,re-CardPackPremium-info,,Casa o chalet en venta en Busot,126 m²,
2 baños,Ascensor,3 habs.,"Piso en venta en Avenida Sierra de Gredos, Villanueva de la Cañada",Parking,,,,460.000 €,,re-CardPackPremium-info,Terraza,"Piso en venta en Avenida Sierra de Gredos, Villanueva de la Cañada",130 m²,2ª Planta
1 baño,Ascensor,2 habs.,Apartamento en venta en Haro,Parking,Balcón,,,105.000 €,,re-CardPackPremium-info,,Apartamento en venta en Haro,65 m²,3ª Planta
4 baños,,7 habs.,"Casa o chalet en venta en Donostia-san Sebastián - Miguel Pelay Orozko, Donostia - San Sebastián",,,,Piscina,1.590.000 €,Calefacción,re-CardPackPremium-info,Terraza,"Casa o chalet en venta en Donostia-san Sebastián - Miguel Pelay Orozko, Donostia - San Sebastián",300 m²,
3 baños,,5 habs.,Casa o chalet en venta en Mont-roig del Camp,,,Aire acondicionado,Piscina,395.000 €,,re-CardPackPremium-info,Terraza,Casa o chalet en venta en Mont-roig del Camp,180 m²,
,Ascensor,2 habs.,"Piso en venta en Carretera de Prats de Lluçanès, 158, Sabadell",,,,,223.000 €,,re-CardPackMinimal-info,,"Piso en venta en Carretera de Prats de Lluçanès, 158, Sabadell",57 m²,4ª Planta
4 baños,,5 habs.,Casa o chalet en venta en Alhaurín de la Torre,,,Aire acondicionado,Piscina,650.000 €,,re-CardPackPremium-info,Terraza,Casa o chalet en venta en Alhaurín de la Torre,400 m²,
3 baños,Ascensor,4 habs.,Dúplex en venta en Ourense Capital,,,,,249.000 €,Calefacción,re-CardPackPremium-info,Terraza,Dúplex en venta en Ourense Capital,140 m²,10ª Planta
4 baños,,6 habs.,Casa adosada en venta en Zumaia,,Balcón,,,820.000 €,Calefacción,re-CardPackPremium-info,Terraza,Casa adosada en venta en Zumaia,340 m²,
3 baños,,4 habs.,"Casa o chalet en venta en Urbanización Bidabe Azpia, Zumaia",,Balcón,,,720.000 €,Calefacción,re-CardPackPremium-info,Terraza,"Casa o chalet en venta en Urbanización Bidabe Azpia, Zumaia",356 m²,
5 baños,,5 habs.,Casa o chalet en venta en Boadilla del Monte,,,Aire acondicionado,Piscina,1.380.000 €,Calefacción,re-CardPackPremium-info,Terraza,Casa o chalet en venta en Boadilla del Monte,555 m²,
3 baños,,4 habs.,"Casa o chalet en venta en Calle Naranjos, 8, Vícar",,,Aire acondicionado,Piscina,375.000 €,Calefacción,re-CardPackPremium-info,Terraza,"Casa o chalet en venta en Calle Naranjos, 8, Vícar",229 m²,
2 baños,Ascensor,2 habs.,Piso en venta en Bakio,,Balcón,,,275.000 €,,re-CardPackPremium-info,Terraza,Piso en venta en Bakio,63 m²,7ª Planta
3 baños,,4 habs.,"Casa o chalet en venta en Avinguda de la Manxa, Calonge",,,Aire acondicionado,Piscina,480.000 €,Calefacción,re-CardPackPremium-info,Terraza,"Casa o chalet en venta en Avinguda de la Manxa, Calonge",255 m²,
1 baño,Ascensor,2 habs.,"Piso en venta en Calle Doce, El Escorial",Parking,,,,189.900 €,,re-CardPackPremium-info,Terraza,"Piso en venta en Calle Doce, El Escorial",99 m²,3ª Planta
4 baños,,6 habs.,Casa o chalet en venta en  Barcelona Capital,,,Aire acondicionado,Piscina,1.850.000 €,Calefacción,re-CardPackPremium-info,Terraza,Casa o chalet en venta en  Barcelona Capital,490 m²,
6 baños,,5 habs.,Casa o chalet en venta en  Barcelona Capital,,,,Piscina,1.990.000 €,Calefacción,re-CardPackPremium-info,Terraza,Casa o chalet en venta en  Barcelona Capital,532 m²,
3 baños,,3 habs.,"Casa adosada en venta en Calle Padre Wigfrido, El Escorial",,,,Piscina,266.000 €,,re-CardPackPremium-info,Terraza,"Casa adosada en venta en Calle Padre Wigfrido, El Escorial",240 m²,
2 baños,Ascensor,3 habs.,"Piso en venta en Calle del Labrador, 6, Navalcarnero",Parking,Balcón,,Piscina,226.500 €,,re-CardPackPremium-info,,"Piso en venta en Calle del Labrador, 6, Navalcarnero",150 m²,
1 baño,Ascensor,3 habs.,"Piso en venta en Calle Erribera, Lasarte-Oria",,Balcón,,,295.000 €,Calefacción,re-CardPackPremium-info,,"Piso en venta en Calle Erribera, Lasarte-Oria",67 m²,6ª Planta
2 baños,Ascensor,3 habs.,"Ático en venta en Carrer Palau D'ametlla, Montornès del Vallès",Parking,,,,355.000 €,,re-CardPackPremium-info,Terraza,"Ático en venta en Carrer Palau D'ametlla, Montornès del Vallès",175 m²,4ª Planta
4 baños,,5 habs.,"Casa o chalet en venta en Calle Residencia, San Lorenzo de El Escorial",,,Aire acondicionado,,479.900 €,Calefacción,re-CardPackPremium-info,Terraza,"Casa o chalet en venta en Calle Residencia, San Lorenzo de El Escorial",200 m²,
1 baño,,2 habs.,"Planta baja en venta en Carrer de Pere Jacas, Vilanova i la Geltrú",,,,,251.000 €,,re-CardPackPremium-info,,"Planta baja en venta en Carrer de Pere Jacas, Vilanova i la Geltrú",54 m²,Bajos
2 baños,Ascensor,3 habs.,"Ático en venta en Avenida del Pintor Xavier Soler, Alicante / Alacant",,Balcón,,,314.900 €,Calefacción,re-CardPackPremium-info,Terraza,"Ático en venta en Avenida del Pintor Xavier Soler, Alicante / Alacant",210 m²,
3 baños,,3 habs.,Casa adosada en venta en Fuengirola,,,Aire acondicionado,Piscina,429.000 €,Calefacción,re-CardPackPremium-info,Terraza,Casa adosada en venta en Fuengirola,143 m²,
1 baño,Ascensor,3 habs.,"Piso en venta en Carrer de Santiago Rusiñol, Santa Coloma de Gramenet",,Balcón,Aire acondicionado,,130.000 €,,re-CardPackPremium-info,,"Piso en venta en Carrer de Santiago Rusiñol, Santa Coloma de Gramenet",55 m²,3ª Planta
2 baños,Ascensor,2 habs.,"Piso en venta en Carrer de la Boia, Vilanova i la Geltrú",,,,,261.000 €,,re-CardPackPremium-info,,"Piso en venta en Carrer de la Boia, Vilanova i la Geltrú",59 m²,4ª Planta
3 baños,,4 habs.,"Casa adosada en venta en Calle Joaquín Sorolla, Espartinas",,,,Piscina,225.000 €,,re-CardPackPremium-info,,"Casa adosada en venta en Calle Joaquín Sorolla, Espartinas",142 m²,
2 baños,,5 habs.,Casa o chalet en venta en Sant Climent Sescebes,,Balcón,,,125.000 €,Calefacción,re-CardPackPremium-info,Terraza,Casa o chalet en venta en Sant Climent Sescebes,129 m²,
3 baños,,3 habs.,"Casa o chalet en venta en Barrio Agote, Zumaia",,,,Piscina,410.000 €,,re-CardPackPremium-info,,"Casa o chalet en venta en Barrio Agote, Zumaia",150 m²,
2 baños,Ascensor,3 habs.,"Piso en venta en Avenida de la Dehesa, Navalcarnero",,Balcón,,,217.000 €,,re-CardPackPremium-info,Terraza,"Piso en venta en Avenida de la Dehesa, Navalcarnero",120 m²,1ª Planta
2 baños,,3 habs.,Casa o chalet en venta en El Casar de Escalona,,,,,87.000 €,,re-CardPackPremium-info,,Casa o chalet en venta en El Casar de Escalona,95 m²,
2 baños,Ascensor,2 habs.,"Piso en venta en Calle Frígola, Paterna",Parking,,,,165.900 €,,re-CardPackPremium-info,Terraza,"Piso en venta en Calle Frígola, Paterna",85 m²,4ª Planta
1 baño,Ascensor,3 habs.,"Piso en venta en Carrer Cristofol Colom, Granollers",,Balcón,,,141.000 €,,re-CardPackPremium-info,,"Piso en venta en Carrer Cristofol Colom, Granollers",60 m²,5ª Planta
2 baños,Ascensor,3 habs.,"Piso en venta en Avenida de San Andrés, Navalcarnero",Parking,,,,266.000 €,,re-CardPackPremium-info,Terraza,"Piso en venta en Avenida de San Andrés, Navalcarnero",120 m²,3ª Planta
2 baños,Ascensor,4 habs.,"Dúplex en venta en Voluntaris, 66, Terrassa",,,,,274.000 €,Calefacción,re-CardPackPremium-info,Terraza,"Dúplex en venta en Voluntaris, 66, Terrassa",105 m²,4ª Planta
